title,sha1,url,UploadCommons,CommonsLink
"Datei:""Lotti"" Wirtin ""Zum Goldfrosch"" 1971.jpg",37418823a2939a50957d6cb2a6266f8f7f2e9bbe,"https://www.fuerthwiki.de/wiki/index.php/Datei:""Lotti""_Wirtin_""Zum_Goldfrosch""_1971.jpg",False,
Datei:'Alter' Gänsberg.jpg,430992014ffa0075f5a24d97d2163a6f27f61769,https://www.fuerthwiki.de/wiki/index.php/Datei:'Alter'_Gänsberg.jpg,False,
"Datei:'Würfel, Andreas Historische Nachricht Von der Judengemeinde in dem Hofmarkt Fürth, 1754.png",040fc69c09ad305a7f3563dafa333828caa23c68,"https://www.fuerthwiki.de/wiki/index.php/Datei:'Würfel,_Andreas_Historische_Nachricht_Von_der_Judengemeinde_in_dem_Hofmarkt_Fürth,_1754.png",,
Datei:(c)Nussbaecher 0352 mit filter.jpg,cdb15fa61d5b7ce5abab6aa9f0cf71a20541370f,https://www.fuerthwiki.de/wiki/index.php/Datei:(c)Nussbaecher_0352_mit_filter.jpg,,
Datei:(c)Nussbaecher 0368.jpg,4e027a3a62043432466c4e7eca6f8aa7fffdc229,https://www.fuerthwiki.de/wiki/index.php/Datei:(c)Nussbaecher_0368.jpg,,
Datei:- Tagaktiv 10-12-23 vertikal.pdf,c6e8d668c5565be31a239c29ec67b40e1db1810a,https://www.fuerthwiki.de/wiki/index.php/Datei:-_Tagaktiv_10-12-23_vertikal.pdf,,
"Datei:-®Stadt Fürth, Bürgermeister- und Presseamt 2020.jpg",5f51634a9d6bbb12a8df666b95abce51923742d7,"https://www.fuerthwiki.de/wiki/index.php/Datei:-®Stadt_Fürth,_Bürgermeister-_und_Presseamt_2020.jpg",,
Datei:... und treiben mit Entsetzen Scherz (Buch).jpg,6586be938be6c19775a91bfc48fd492f33def7aa,https://www.fuerthwiki.de/wiki/index.php/Datei:..._und_treiben_mit_Entsetzen_Scherz_(Buch).jpg,False,
Datei:001 Friedhof-Rundgang .jpg,cec070b8cae99f358c3bed2103f0af99d965cb1e,https://www.fuerthwiki.de/wiki/index.php/Datei:001_Friedhof-Rundgang_.jpg,,
Datei:002 Friedhof-Rundgang.jpeg,c0de41a28113be439570a0977c9482b34cbc2778,https://www.fuerthwiki.de/wiki/index.php/Datei:002_Friedhof-Rundgang.jpeg,,
Datei:0104-19920811-2.jpg,a33f39b164f9bf56ff776d4d76d669bb3a7badef,https://www.fuerthwiki.de/wiki/index.php/Datei:0104-19920811-2.jpg,False,
Datei:0108Show2023.jpg,7a86653768632c9cafbf5c58e7c4e701e42d7bc6,https://www.fuerthwiki.de/wiki/index.php/Datei:0108Show2023.jpg,,
Datei:0111-19920411-2.jpg,9525d0588936397e1111392c02a45044f56a74e3,https://www.fuerthwiki.de/wiki/index.php/Datei:0111-19920411-2.jpg,False,
Datei:0112-19930718-2.jpg,32d65cb704f92dba77bb18f934538e60db2a7234,https://www.fuerthwiki.de/wiki/index.php/Datei:0112-19930718-2.jpg,False,
Datei:0112-19930718-3.jpg,bbe4687a7b8ac9afa489e613576f7516c9bb1537,https://www.fuerthwiki.de/wiki/index.php/Datei:0112-19930718-3.jpg,False,
